number,date_time,temp,RH,site,block,treatment
403,6/20/2017 17:00,57.722,90.99,CBE,1,soy
404,6/20/2017 17:30,58.455,92.586,CBE,1,soy
405,6/20/2017 18:00,58.455,94.691,CBE,1,soy
406,6/20/2017 18:30,59.014,95.703,CBE,1,soy
407,6/20/2017 19:00,60.474,96.562,CBE,1,soy
408,6/20/2017 19:30,65.23,92.086,CBE,1,soy
409,6/20/2017 20:00,64.503,86.335,CBE,1,soy
410,6/20/2017 20:30,60.948,88.727,CBE,1,soy
411,6/20/2017 21:00,60.433,87.452,CBE,1,soy
412,6/20/2017 21:30,59.702,89.757,CBE,1,soy
413,6/20/2017 22:00,57.679,93.854,CBE,1,soy
414,6/20/2017 22:30,56.685,96.385,CBE,1,soy
415,6/20/2017 23:00,56.295,96.939,CBE,1,soy
416,6/20/2017 23:30,54.777,96.814,CBE,1,soy
417,6/21/2017 0:00,53.776,97.347,CBE,1,soy
418,6/21/2017 0:30,51.764,96.893,CBE,1,soy
419,6/21/2017 1:00,52.466,97.477,CBE,1,soy
420,6/21/2017 1:30,50.533,97.584,CBE,1,soy
421,6/21/2017 2:00,51.94,98.049,CBE,1,soy
422,6/21/2017 2:30,51.895,97.992,CBE,1,soy
423,6/21/2017 3:00,50.4,97.539,CBE,1,soy
424,6/21/2017 3:30,49.116,97.269,CBE,1,soy
425,6/21/2017 4:00,47.914,97.634,CBE,1,soy
426,6/21/2017 4:30,47.512,97.77,CBE,1,soy
427,6/21/2017 5:00,47.109,97.486,CBE,1,soy
428,6/21/2017 5:30,46.346,97.493,CBE,1,soy
429,6/21/2017 6:00,47.422,98.202,CBE,1,soy
430,6/21/2017 6:30,47.647,98.212,CBE,1,soy
431,6/21/2017 7:00,54.648,97.099,CBE,1,soy
432,6/21/2017 7:30,57.42,97.566,CBE,1,soy
433,6/21/2017 8:00,61.075,96.212,CBE,1,soy
434,6/21/2017 8:30,63.946,92.861,CBE,1,soy
435,6/21/2017 9:00,66.344,82.773,CBE,1,soy
436,6/21/2017 9:30,68.571,73.565,CBE,1,soy
437,6/21/2017 10:00,71.317,66.472,CBE,1,soy
438,6/21/2017 10:30,72.523,63.583,CBE,1,soy
439,6/21/2017 11:00,73.731,61.294,CBE,1,soy
440,6/21/2017 11:30,75.81,53.757,CBE,1,soy
441,6/21/2017 12:00,76.593,50.753,CBE,1,soy
442,6/21/2017 12:30,76.332,50.225,CBE,1,soy
443,6/21/2017 13:00,79.612,48.383,CBE,1,soy
444,6/21/2017 13:30,75.117,48.034,CBE,1,soy
445,6/21/2017 14:00,76.464,44.458,CBE,1,soy
446,6/21/2017 14:30,75.637,47.59,CBE,1,soy
447,6/21/2017 15:00,74.986,50.855,CBE,1,soy
448,6/21/2017 15:30,77.902,44.65,CBE,1,soy
449,6/21/2017 16:00,78.076,42.317,CBE,1,soy
450,6/21/2017 16:30,83.914,33.539,CBE,1,soy
451,6/21/2017 17:00,80.845,36.469,CBE,1,soy
452,6/21/2017 17:30,78.645,38.472,CBE,1,soy
453,6/21/2017 18:00,79.084,40.707,CBE,1,soy
454,6/21/2017 18:30,77.553,42.937,CBE,1,soy
455,6/21/2017 19:00,76.593,43.981,CBE,1,soy
456,6/21/2017 19:30,75.724,45.475,CBE,1,soy
457,6/21/2017 20:00,74.943,47.542,CBE,1,soy
458,6/21/2017 20:30,74.597,52.908,CBE,1,soy
459,6/21/2017 21:00,65.23,75.351,CBE,1,soy
460,6/21/2017 21:30,60.433,90.811,CBE,1,soy
461,6/21/2017 22:00,58.582,92.865,CBE,1,soy
462,6/21/2017 22:30,57.85,94.19,CBE,1,soy
